Time,4518-PE,4518-NoPe,4520-PE,4520-NoPe,4524-PE,4524-NoPe,4529-PE,4529-NoPe,4537-PE,4537-NoPe,4538-PE,4538-NoPe,4518-PE,4518-NoPe,4545-PE,4545-NoPe,4548-PE,4548-NoPe,4553-PE,4553-NoPe,Sigma-PE,Sigma-NoPe,FYDip-PE,FYDip-NoPe
13:45:00,1.579333333,1.581333333,1.528333333,1.58,1.075333333,1.124333333,1.523,1.573666667,1.457,1.556333333,1.522666667,1.548,1.516666667,1.541,1.289333333,1.186666667,1.41,1.420666667,1.460666667,1.540666667,1.297333333,1.362,1.557,1.552333333
14:00:00,1.588,1.583666667,1.543333333,1.596333333,1.106333333,1.152666667,1.525333333,1.574,1.462666667,1.560333333,1.526333333,1.549333333,1.516666667,1.535666667,1.314333333,1.209333333,1.429333333,1.439333333,1.474666667,1.548,1.334666667,1.386666667,1.555,1.559
14:15:00,1.580666667,1.580666667,1.55,1.603666667,1.138333333,1.181333333,1.528666667,1.578,1.463333333,1.561666667,1.531333333,1.551666667,1.514666667,1.547666667,1.341333333,1.234666667,1.446666667,1.465666667,1.491666667,1.549,1.367,1.417666667,1.555666667,1.558666667
14:30:00,1.581333333,1.58,1.56,1.608333333,1.169333333,1.211,1.539,1.581666667,1.458333333,1.559,1.536666667,1.546666667,1.523333333,1.541333333,1.357,1.254,1.454666667,1.476666667,1.493,1.543666667,1.404333333,1.453666667,1.562,1.559333333
14:45:00,1.585333333,1.578666667,1.563666667,1.609,1.204333333,1.242,1.538,1.577,1.459666667,1.560333333,1.540666667,1.553666667,1.526666667,1.550666667,1.374666667,1.279666667,1.462666667,1.492333333,1.501666667,1.544333333,1.426,1.478333333,1.560333333,1.568666667
15:00:00,1.578666667,1.578333333,1.568333333,1.616666667,1.232,1.268,1.542333333,1.576,1.464,1.564666667,1.533666667,1.546666667,1.530666667,1.550666667,1.395,1.305333333,1.471333333,1.498333333,1.502333333,1.549,1.446333333,1.499,1.56,1.57
15:15:00,1.579,1.578,1.568,1.614666667,1.266333333,1.294333333,1.533333333,1.574666667,1.470333333,1.561666667,1.531,1.551666667,1.529,1.551333333,1.423666667,1.323333333,1.473666667,1.508333333,1.504333333,1.540333333,1.464,1.521333333,1.556,1.570666667
15:30:00,1.581666667,1.575666667,1.572,1.613333333,1.283,1.32,1.538333333,1.574666667,1.472333333,1.563,1.526666667,1.551666667,1.536666667,1.548666667,1.44,1.341666667,1.480333333,1.513666667,1.507333333,1.541666667,1.471333333,1.537666667,1.555,1.572666667
15:45:00,1.582333333,1.577,1.569,1.619333333,1.311,1.340333333,1.537,1.576333333,1.473666667,1.558333333,1.525,1.547666667,1.532333333,1.554666667,1.467666667,1.363,1.485,1.514,1.511,1.546333333,1.477666667,1.548,1.559,1.569333333
16:00:00,1.576,1.574666667,1.571333333,1.614,1.335,1.365666667,1.533666667,1.576,1.474666667,1.559666667,1.527,1.553666667,1.531333333,1.553,1.489333333,1.384333333,1.487,1.518666667,1.507333333,1.537666667,1.487,1.557666667,1.556666667,1.57
